Banco de México,
,
Exchange rates and auctions historical information,
Tipos de cambio diarios,
,
Date: 03/02/2024 06:14:08,
,
,
,
Title,"Exchange rate pesos per US dollar, Used to settle liabilities denominated in foreign currency, Date of settlement"
Information type,Levels
Date,SF60653
07/13/2016,18.4597
07/14/2016,18.3006
07/15/2016,18.3937
07/16/2016,18.3061
07/17/2016,18.3061
07/18/2016,18.3061
07/19/2016,18.492
07/20/2016,18.4879
07/21/2016,18.5719
07/22/2016,18.5729
07/23/2016,18.6022
07/24/2016,18.6022
07/25/2016,18.6022
07/26/2016,18.6089
07/27/2016,18.7569
07/28/2016,18.8114
07/29/2016,18.8602
07/30/2016,18.8979
07/31/2016,18.8979
08/01/2016,18.8979
08/02/2016,18.7837
08/03/2016,18.8504
08/04/2016,18.8966
08/05/2016,18.9117
08/06/2016,18.8612
08/07/2016,18.8612
08/08/2016,18.8612
08/09/2016,18.8691
08/10/2016,18.5716
08/11/2016,18.3842
08/12/2016,18.3479
08/13/2016,18.2678
08/14/2016,18.2678
08/15/2016,18.2678
08/16/2016,18.2455
08/17/2016,18.0363
08/18/2016,17.9869
08/19/2016,18.2598
08/20/2016,18.0832
08/21/2016,18.0832
08/22/2016,18.0832
08/23/2016,18.2674
08/24/2016,18.3023
08/25/2016,18.3202
08/26/2016,18.4971
08/27/2016,18.446
08/28/2016,18.446
08/29/2016,18.446
08/30/2016,18.283
08/31/2016,18.5773
09/01/2016,18.7953
09/02/2016,18.8611
09/03/2016,18.8523
09/04/2016,18.8523
09/05/2016,18.8523
09/06/2016,18.6589
09/07/2016,18.5581
09/08/2016,18.3524
09/09/2016,18.3689
09/10/2016,18.5427
09/11/2016,18.5427
09/12/2016,18.5427
09/13/2016,18.8451
09/14/2016,19.0646
09/15/2016,19.152
09/16/2016,19.2275
09/17/2016,19.2275
09/18/2016,19.2275
09/19/2016,19.2275
09/20/2016,19.2514
09/21/2016,19.6097
09/22/2016,19.777
09/23/2016,19.8394
09/24/2016,19.5965
09/25/2016,19.5965
09/26/2016,19.5965
09/27/2016,19.7211
09/28/2016,19.8322
09/29/2016,19.5044
09/30/2016,19.5002
10/01/2016,19.4086
10/02/2016,19.4086
10/03/2016,19.4086
10/04/2016,19.3776
10/05/2016,19.3211
10/06/2016,19.2138
10/07/2016,19.2554
10/08/2016,19.2433
10/09/2016,19.2433
10/10/2016,19.2433
10/11/2016,19.2994
10/12/2016,18.8786
10/13/2016,18.9531
10/14/2016,18.9622
10/15/2016,19.0399
10/16/2016,19.0399
10/17/2016,19.0399
10/18/2016,19.0046
10/19/2016,18.8723
10/20/2016,18.6726
10/21/2016,18.5894
10/22/2016,18.5945
10/23/2016,18.5945
10/24/2016,18.5945
10/25/2016,18.6481
10/26/2016,18.5658
10/27/2016,18.5147
10/28/2016,18.6485
10/29/2016,18.8443
10/30/2016,18.8443
10/31/2016,18.8443
11/01/2016,18.7304
11/02/2016,18.8887
11/03/2016,18.8887
11/04/2016,19.1306
11/05/2016,19.2014
11/06/2016,19.2014
11/07/2016,19.2014
11/08/2016,19.0792
11/09/2016,18.6192
11/10/2016,18.5089
11/11/2016,19.925
11/12/2016,20.4812
11/13/2016,20.4812
11/14/2016,20.4812
11/15/2016,21.0511
11/16/2016,20.8729
11/17/2016,20.349
11/18/2016,20.2884
11/19/2016,20.1898
11/20/2016,20.1898
11/21/2016,20.1898
11/22/2016,20.1898
11/23/2016,20.4193
11/24/2016,20.5205
11/25/2016,20.6901
11/26/2016,20.7051
11/27/2016,20.7051
11/28/2016,20.7051
11/29/2016,20.6475
11/30/2016,20.5521
12/01/2016,20.6225
12/02/2016,20.5155
12/03/2016,20.7488
12/04/2016,20.7488
12/05/2016,20.7488
12/06/2016,20.6149
12/07/2016,20.5927
12/08/2016,20.3863
12/09/2016,20.2967
12/10/2016,20.4162
12/11/2016,20.4162
12/12/2016,20.4162
12/13/2016,20.4162
12/14/2016,20.3305
12/15/2016,20.2567
12/16/2016,20.2226
12/17/2016,20.5973
12/18/2016,20.5973
12/19/2016,20.5973
12/20/2016,20.428
12/21/2016,20.4098
12/22/2016,20.43
12/23/2016,20.4921
12/24/2016,20.7179
12/25/2016,20.7179
12/26/2016,20.7179
12/27/2016,20.6271
12/28/2016,20.6445
12/29/2016,20.7052
12/30/2016,20.7314
12/31/2016,20.664
01/01/2017,20.664
01/02/2017,20.664
01/03/2017,20.6194
01/04/2017,20.7323
01/05/2017,20.852
01/06/2017,21.3799
01/07/2017,21.3661
01/08/2017,21.3661
01/09/2017,21.3661
01/10/2017,21.3144
01/11/2017,21.3219
01/12/2017,21.6168
01/13/2017,21.9076
01/14/2017,21.7204
01/15/2017,21.7204
01/16/2017,21.7204
