Banco de México,
,
Securities prices and interest rates,
Tasas de Interés en el Mercado de Dinero,
,
Date: 03/02/2024 06:10:39,
,
,
,
Title,"28 day TIIE, Interest rate in annual percent"
Information type,Levels
Date,SF43783
05/23/2017,7.1145
05/24/2017,7.12
05/25/2017,7.13
05/26/2017,7.1335
05/29/2017,7.14
05/30/2017,7.145
05/31/2017,7.1471
06/01/2017,7.15
06/02/2017,7.15
06/05/2017,7.1556
06/06/2017,7.155
06/07/2017,7.16
06/08/2017,7.1585
06/09/2017,7.1648
06/12/2017,7.1661
06/13/2017,7.19
06/14/2017,7.1875
06/15/2017,7.1873
06/16/2017,7.185
06/19/2017,7.1899
06/20/2017,7.1929
06/21/2017,7.1975
06/22/2017,7.202
06/23/2017,7.21
06/26/2017,7.3465
06/27/2017,7.34
06/28/2017,7.33
06/29/2017,7.3492
06/30/2017,7.36
07/03/2017,7.365
07/04/2017,7.3696
07/05/2017,7.37
07/06/2017,7.37
07/07/2017,7.3691
07/10/2017,7.365
07/11/2017,7.3527
07/12/2017,7.3525
07/13/2017,7.3425
07/14/2017,7.355
07/17/2017,7.3612
07/18/2017,7.365
07/19/2017,7.3675
07/20/2017,7.3675
07/21/2017,7.3751
07/24/2017,7.3675
07/25/2017,7.3725
07/26/2017,7.3725
07/27/2017,7.3763
07/28/2017,7.376
07/31/2017,7.3811
08/01/2017,7.3775
08/02/2017,7.375
08/03/2017,7.3715
08/04/2017,7.373
08/07/2017,7.3775
08/08/2017,7.3725
08/09/2017,7.378
08/10/2017,7.381
08/11/2017,7.3811
08/14/2017,7.375
08/15/2017,7.3721
08/16/2017,7.3785
08/17/2017,7.3781
08/18/2017,7.3762
08/21/2017,7.3799
08/22/2017,7.3775
08/23/2017,7.375
08/24/2017,7.3725
08/25/2017,7.37
08/28/2017,7.3725
08/29/2017,7.3709
08/30/2017,7.3708
08/31/2017,7.3825
09/01/2017,7.378
09/04/2017,7.3768
09/05/2017,7.3725
09/06/2017,7.3726
09/07/2017,7.3775
09/08/2017,7.369
09/11/2017,7.375
09/12/2017,7.3725
09/13/2017,7.375
09/14/2017,7.37
09/15/2017,7.3765
09/18/2017,7.375
09/19/2017,7.376
09/20/2017,7.3775
09/21/2017,7.3801
09/22/2017,7.3767
09/25/2017,7.3818
09/26/2017,7.3784
09/27/2017,7.385
09/28/2017,7.38
09/29/2017,7.3794
10/02/2017,7.3725
10/03/2017,7.3725
10/04/2017,7.3675
10/05/2017,7.3762
10/06/2017,7.3757
10/09/2017,7.3755
10/10/2017,7.3773
10/11/2017,7.3798
10/12/2017,7.382
10/13/2017,7.3866
10/16/2017,7.38
10/17/2017,7.3765
10/18/2017,7.3825
10/19/2017,7.3875
10/20/2017,7.385
10/23/2017,7.385
10/24/2017,7.3763
10/25/2017,7.3805
10/26/2017,7.3836
10/27/2017,7.38
10/30/2017,7.3725
10/31/2017,7.3825
11/01/2017,7.375
11/03/2017,7.3744
11/06/2017,7.3798
11/07/2017,7.3831
11/08/2017,7.3775
11/09/2017,7.3838
11/10/2017,7.3834
11/13/2017,7.3825
11/14/2017,7.377
11/15/2017,7.38
11/16/2017,7.3806
11/17/2017,7.3796
11/21/2017,7.3767
11/22/2017,7.3735
11/23/2017,7.3714
11/24/2017,7.3832
11/27/2017,7.3825
11/28/2017,7.3824
11/29/2017,7.3825
11/30/2017,7.3875
12/01/2017,7.3911
12/04/2017,7.3855
12/05/2017,7.388
12/06/2017,7.3875
12/07/2017,7.3925
12/08/2017,7.3916
12/11/2017,7.401
12/13/2017,7.4275
12/14/2017,7.45
12/15/2017,7.46
12/18/2017,7.595
12/19/2017,7.6004
12/20/2017,7.6069
12/21/2017,7.6109
12/22/2017,7.6177
12/26/2017,7.621
12/27/2017,7.624
12/28/2017,7.625
12/29/2017,7.6241
01/02/2018,7.6311
01/03/2018,7.6275
01/04/2018,7.625
01/05/2018,7.625
01/08/2018,7.6292
01/09/2018,7.6282
01/10/2018,7.63
01/11/2018,7.6298
01/12/2018,7.6299
01/15/2018,7.6325
01/16/2018,7.6343
01/17/2018,7.6287
01/18/2018,7.6334
01/19/2018,7.6318
01/22/2018,7.635
01/23/2018,7.6428
01/24/2018,7.645
01/25/2018,7.6475
01/26/2018,7.6441
01/29/2018,7.645
01/30/2018,7.655
01/31/2018,7.6625
02/01/2018,7.66
02/02/2018,7.6643
02/06/2018,7.665
02/07/2018,7.675
02/08/2018,7.6862
02/09/2018,7.7056
02/12/2018,7.84
02/13/2018,7.84
02/14/2018,7.832
02/15/2018,7.835
02/16/2018,7.8325
02/19/2018,7.825
02/20/2018,7.8125
02/21/2018,7.8312
02/22/2018,7.83
02/23/2018,7.8325
02/26/2018,7.825
02/27/2018,7.8331
02/28/2018,7.8315
03/01/2018,7.8294
03/02/2018,7.8244
03/05/2018,7.8316
03/06/2018,7.8225
03/07/2018,7.8299
03/08/2018,7.83
03/09/2018,7.8396
03/12/2018,7.8395
03/13/2018,7.825
03/14/2018,7.83
03/15/2018,7.83
03/16/2018,7.825
03/20/2018,7.8325
03/21/2018,7.8382
03/22/2018,7.8414
03/23/2018,7.8425
03/26/2018,7.8425
03/27/2018,7.8463
03/28/2018,7.8483
04/02/2018,7.8503
04/03/2018,7.8493
04/04/2018,7.8475
04/05/2018,7.8445
04/06/2018,7.8525
04/09/2018,7.8441
04/10/2018,7.846
04/11/2018,7.8407
04/12/2018,7.8376
04/13/2018,7.8445
04/16/2018,7.8404
04/17/2018,7.8456
04/18/2018,7.835
04/19/2018,7.835
04/20/2018,7.8254
04/23/2018,7.8303
04/24/2018,7.825
04/25/2018,7.8325
04/26/2018,7.8375
04/27/2018,7.8405
04/30/2018,7.8455
05/02/2018,7.8508
05/03/2018,7.8448
05/04/2018,7.8428
05/07/2018,7.8428
05/08/2018,7.835
05/09/2018,7.835
05/10/2018,7.8425
05/11/2018,7.8375
05/14/2018,7.8359
05/15/2018,7.8475
05/16/2018,7.8488
05/17/2018,7.8475
05/18/2018,7.86
05/21/2018,7.8676
05/22/2018,7.8558
05/23/2018,7.8602
05/24/2018,7.862
05/25/2018,7.8612
05/28/2018,7.8662
05/29/2018,7.8585
05/30/2018,7.8587
05/31/2018,7.86
06/01/2018,7.855
06/04/2018,7.85
06/05/2018,7.8529
06/06/2018,7.8546
06/07/2018,7.864
06/08/2018,7.8729
06/11/2018,7.87
06/12/2018,7.8721
06/13/2018,7.88
06/14/2018,7.8788
06/15/2018,7.891
06/18/2018,7.8933
06/19/2018,7.9003
06/20/2018,7.8975
06/21/2018,7.9
06/22/2018,7.915
06/25/2018,8.07
06/26/2018,8.08
06/27/2018,8.09
06/28/2018,8.1
06/29/2018,8.103
07/02/2018,8.1004
07/03/2018,8.1
07/04/2018,8.108
07/05/2018,8.1079
07/06/2018,8.1083
07/09/2018,8.1068
07/10/2018,8.1075
07/11/2018,8.1025
07/12/2018,8.11
07/13/2018,8.105
07/16/2018,8.105
07/17/2018,8.1067
07/18/2018,8.11
07/19/2018,8.11
07/20/2018,8.105
07/23/2018,8.1101
07/24/2018,8.1068
07/25/2018,8.1025
07/26/2018,8.0805
07/27/2018,8.095
